filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t200g10nc_m+0.5,200,3,0.5,0.1169,32.3118167,34.82871727,19.27531991,19.05272503,17.48899141,17.47161369,36.78993261,16.05265666,46.19200204,14.95472968,36.48867782,37.23166033,14.90113315,35.70116027,40.02102657,14.19608046,41.43986543,41.05644651,36.83772884,13.47318757,35.90916946,35.1488243,13.19408598,34.4382128,13.00249857,32.80826544,31.99133259,26.53103828,38.61374197,31.78813644,25.93800686,26.98641905,23.07019459,21.078891,19.34010105,18.85554919,17.77190601,18.0537356,17.85237094,18.25342438,20.93149557,19.37276796,36.06330646,26.54108408,18.65953645,39.27780974,36.05589678
sp_t200g17nc_m+0.5,200,3.23,0.5,0.111193996,32.06932605,34.46361484,19.42138434,19.18606728,17.6423969,17.62421415,36.30878663,16.19187444,45.88078306,15.09386087,35.9627005,36.92954903,15.04283579,35.31277336,39.96127043,14.33294485,41.30878431,40.92658386,37.04036751,13.59486961,36.09985829,35.35058593,13.31159759,34.47590521,13.11509165,32.82834308,32.03153462,26.57536866,38.83773512,31.92675439,25.98612924,27.00645959,23.0925745,21.05449362,19.32420456,18.91879186,17.85792088,18.15760376,17.95476747,18.36433517,21.01967227,19.48479548,35.7759555,26.55488933,18.72341158,38.59315002,36.28843771
sp_t200g31nc_m+0.5,200,3.49,0.5,0.108766894,31.74375179,33.95440404,19.50844699,19.26069241,17.73736126,17.71844491,35.7933924,16.27039649,45.40207807,15.17321595,35.33210403,36.44508373,15.12425021,34.77852492,39.83335297,14.41078624,41.0423208,40.6790305,37.18234676,13.65757865,36.23425269,35.51351549,13.3703649,34.42001118,13.16892509,32.7833182,32.01584547,26.54678428,38.99635079,32.00259302,25.96359707,26.95512864,23.01735801,20.95125832,19.23524755,18.91637123,17.8834401,18.19887664,17.99359548,18.41249826,21.03841241,19.53257939,35.33576096,26.49833292,18.71935988,37.80390663,36.46709744
sp_t200g56nc_m+0.5,200,3.75,0.5,0.107606653,31.39651747,33.33844993,19.56346825,19.30303118,17.806401,17.78707615,35.26544917,16.32386369,44.77312232,15.23000035,34.66523555,35.84796562,15.1825463,34.12633799,39.63831072,14.46655374,40.63836339,40.3529121,37.30080859,13.69758971,36.35218348,35.68284849,13.40641797,34.3051681,13.199758,32.70672763,31.97245899,26.47647861,39.13292254,32.04595696,25.90132753,26.86773448,22.87578558,20.80699327,19.1121015,18.8820401,17.88198924,18.2096017,18.00132877,18.42961333,21.01746879,19.54953597,34.74515933,26.41065699,18.68127387,36.9486847,36.62719791
sp_t200g100nc_m+0.5,200,4,0.5,0.1055,31.06726342,32.66317179,19.62389166,19.34956667,17.89115534,17.87204914,34.78928467,16.39663605,44.10682234,15.31043654,34.04058954,35.2363695,15.26414144,33.4407996,39.41770681,14.54628744,40.1872581,39.99162655,37.45879312,13.76097584,36.51891145,35.92538972,13.46579908,34.18308179,13.25408751,32.64192742,31.93654037,26.40819818,39.30629272,32.10068583,25.84258604,26.79501633,22.72458139,20.67296982,19.00530003,18.86137837,17.89835877,18.2340891,18.02484714,18.46104124,20.99455716,19.58095308,34.07606424,26.34466149,18.65556934,36.09621119,36.83004653
sp_t200g178nc_m+0.5,200,4.25,0.5,0.101699535,30.74969835,31.95919325,19.71332369,19.4233441,18.01128075,17.99305893,34.39245661,16.50542026,43.45894668,15.43151254,33.47442977,34.653211,15.38632648,32.77835572,39.17510164,14.66682128,39.78756021,39.65717143,37.66457444,13.86446311,36.7452286,36.24931907,13.56510259,34.08575568,13.34860543,32.59701698,31.9142844,26.3506792,39.53899729,32.1725695,25.79552594,26.75290628,22.58821992,20.5688385,18.93278193,18.87328168,17.95151913,18.29309493,18.08869228,18.5319533,20.9939656,19.6442161,33.39034885,26.31841532,18.66202371,35.31072082,37.08552565
sp_t200g316nc_m+0.5,200,4.5,0.5,0.095900301,30.440414,31.23440089,19.85652679,19.54605414,18.19058028,18.17378354,34.07445587,16.66373901,42.80538057,15.60743776,32.95770175,34.1141754,15.56562725,32.17392909,38.88923291,14.8425266,39.44732733,39.40425259,37.87800868,14.01988524,36.99679835,36.6122063,13.71625867,34.02707651,13.49602287,32.56819506,31.90645298,26.29286735,39.9037906,32.24316522,25.74774163,26.73321371,22.46700189,20.49926484,18.89735343,18.92121212,18.04496955,18.39213976,18.20055956,18.65158367,21.0332026,19.74482038,32.7369289,26.32384752,18.70453992,34.6505797,37.36066037
sp_t200g562nc_m+0.5,200,4.75,0.5,0.0899991,30.10903856,30.51874584,19.98603274,19.65821747,18.36298956,18.34806859,33.92240196,16.83318304,42.2249434,15.79827935,32.5478181,33.69993397,15.75734266,31.70274536,38.64354391,15.03225753,39.19142799,39.27959053,38.19636622,14.19546504,37.3991943,37.1442433,13.88729164,34.06214727,13.66145095,32.57681562,31.97584578,26.26301523,40.22077682,32.37512197,25.73027271,26.77631326,22.38022959,20.46440074,18.89224622,18.992525,18.16394568,18.51424597,18.34665195,18.80356827,21.09711524,19.87763361,32.20521728,26.39273726,18.7697493,34.23199964,37.78559994
sp_t200g1000nc_m+0.5,200,5,0.5,0.0838,29.82555052,30.22117061,20.35141427,19.97501151,18.8101159,18.7997642,34.77682646,17.25196506,42.65539848,16.27641484,32.8813302,34.08729036,16.2445172,31.99800454,39.1630707,15.47737736,39.646648,39.60265804,39.54382038,14.57755679,39.11888206,39.11587455,14.24983351,34.75001703,14.00545402,33.01592401,32.79077453,26.72223978,41.72258374,33.24793849,26.23017277,27.45271024,22.71247425,20.72387678,19.14494084,19.2873758,18.49650954,18.83295051,18.71457383,19.15551162,21.29527936,20.26420632,32.44073887,27.06514581,19.05398404,34.88816033,39.5457468
sp_t200g3160nc_m+0.5,200,5.5,0.5,0.0765,28.73525875,28.35477428,20.35326958,19.97909179,18.85310949,18.84272616,33.79095537,17.30166856,40.21674727,16.36899604,31.60935703,32.79269592,16.34471497,30.70638734,37.54296663,15.59577312,37.74913237,38.87119115,38.31409578,14.70818294,38.62734985,38.82272648,14.38493962,34.12590831,14.1432669,32.3785282,32.09859602,25.92984965,41.55243202,32.63351389,25.42769558,26.69810225,21.91504462,20.28368826,18.79741148,19.05152719,18.35479877,18.64815039,18.62276883,19.04410836,21.16707806,20.23928545,31.12695182,26.32883421,18.81847383,33.72983636,39.06743649
