filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t200g10nc_m-0.5,200,3,-0.5,0.1172,32.74706447,31.65852643,18.40480863,18.2998791,17.04175703,17.02519086,34.43896653,16.25983216,39.14391628,15.63357944,32.01522993,33.5305596,15.61564095,31.36289821,34.94909574,14.84363648,37.08508126,38.32811779,37.599937,13.97391349,38.68443885,39.46266882,13.64882792,34.14793795,13.40007826,30.09392636,29.07047992,24.09244616,34.86327771,28.69574807,23.44092975,24.14243404,20.70301207,19.4380689,18.03710913,18.02033234,17.20586798,17.38908581,17.28154462,17.57982936,20.11598684,18.8525639,31.99103153,23.84811849,17.83134483,34.75863015,39.09398255
sp_t200g17nc_m-0.5,200,3.23,-0.5,0.112138223,32.32063183,31.07931796,18.55909666,18.44083289,17.19304986,17.17583146,34.35882166,16.39802724,38.6065712,15.77258313,31.69852979,33.17461158,15.75357945,30.99041052,34.86243576,14.97724745,36.87248052,38.31014365,37.52585971,14.09926935,38.93493584,39.81461501,13.77150978,34.2431228,13.51862101,30.10224308,29.05725142,24.03469846,35.05837378,28.74736122,23.38678582,24.07686702,20.59247713,19.39130927,18.03220369,18.0778347,17.30060834,17.49067249,17.37675673,17.68718312,20.21073646,18.94008971,31.64035965,23.80087513,17.88894705,34.4732574,39.36674515
sp_t200g31nc_m-0.5,200,3.49,-0.5,0.110346826,31.92286727,30.50620801,18.65558952,18.52289734,17.28731184,17.26968264,34.25174988,16.47706997,38.0070157,15.85312829,31.37010599,32.7922744,15.83276169,30.5997636,34.72020623,15.05209598,36.60762974,38.29800161,37.35862112,14.16598365,39.13986376,40.12588219,13.835516,34.28562867,13.57849303,30.05567976,28.97333462,23.89661592,35.20044403,28.72718555,23.25268206,23.9435563,20.40728614,19.28020606,17.9685225,18.07279776,17.33533683,17.52981757,17.41288039,17.73657117,20.25003945,18.96071228,31.21946377,23.68875471,17.88286986,34.21366912,39.58694838
sp_t200g100nc_m-0.5,200,4,-0.5,0.1074,31.22427617,29.43786523,18.85683541,18.69086249,17.48312006,17.46573884,34.08007075,16.63410615,36.81496337,16.01613894,30.86404793,32.16728433,15.99322069,30.01054771,34.41716233,15.20216119,36.00455875,38.43094817,36.88327612,14.30002676,39.60263077,40.82484892,13.96386406,34.40436444,13.69892292,29.94425677,28.77767731,23.5489081,35.54024879,28.64120812,22.91161755,23.64454565,19.99789734,19.04858794,17.84177636,18.04902814,17.39835107,17.59193216,17.48910661,17.83583473,20.32587031,18.98324939,30.51548386,23.43487444,17.85407973,33.88329512,40.06866503
sp_t200g316nc_m-0.5,200,4.5,-0.5,0.098300275,30.7093053,28.52374712,19.21349396,19.00966976,17.83212745,17.81586208,33.97137881,16.93719627,35.85036346,16.33160942,30.71285165,31.82027508,16.30794421,29.82601805,34.18597244,15.50197039,35.4546581,38.77477548,36.46390449,14.58242429,40.26007532,41.74926545,14.23975131,34.64357714,13.9674707,29.88709757,28.68430944,23.26613033,36.11885789,28.63288407,22.6275323,23.41883172,19.70202585,18.96263523,17.87452539,18.1563903,17.59475026,17.76624072,17.71312424,18.06869262,20.51678676,19.13654534,30.26625337,23.22355338,17.9609702,33.78907601,40.72760261
sp_t200g1000nc_m-0.5,200,5,-0.5,0.085,30.32599614,27.76908715,19.676673,19.44340053,18.30184723,18.28743558,33.85032113,17.36576626,35.20169167,16.78179608,30.95520669,31.58453171,16.75831898,30.05997774,34.06012845,15.93400986,35.14982865,39.12266002,36.28260809,14.99670038,41.07299345,42.83816501,14.64752958,34.93846562,14.36843316,29.76638927,28.53750568,23.05423269,36.85814423,28.60650259,22.39482116,23.19305402,19.53976765,19.02689464,18.08642541,18.39927341,17.91918853,18.04368613,18.05727135,18.39886938,20.76625172,19.41672287,30.49153636,22.96449987,18.21631201,33.92468965,41.53339461
sp_t200g1780nc_m-0.5,200,5.25,-0.5,0.0781,30.21375511,27.54937071,19.89871858,19.65770427,18.54510434,18.53211725,33.80080672,17.59974689,34.9669319,17.03137549,31.1978326,31.47388764,17.00758072,30.30753258,34.04186,16.17415787,35.11648735,39.19099297,36.29695176,15.22917685,41.51502126,43.42221318,14.87719801,35.07640548,14.59505899,29.62602751,28.38942376,22.9594567,37.23922168,28.53512337,22.28103517,23.04911079,19.50470936,19.1027117,18.24832702,18.55631,18.11302138,18.20898148,18.24808432,18.57279359,20.86498851,19.57988517,30.74148665,22.80736297,18.38353145,34.08941834,41.9747567
sp_t200g3160nc_m-0.5,200,5.5,-0.5,0.0781,30.63066515,28.00611264,19.9094524,19.66460812,18.59108994,18.57958947,33.8491229,17.64637464,34.50070523,17.09694289,31.26013773,31.44027327,17.07211838,30.38481436,33.82122584,16.22970259,34.96206832,38.98191012,36.18149148,15.27793775,41.75893711,43.80826373,14.92328435,34.99685937,14.63813187,29.24698467,28.01426924,22.67975777,37.41095833,28.23244459,21.97989848,22.69839408,19.30709901,19.00637955,18.2430667,18.5362686,18.12996292,18.1985339,18.25371201,18.55762607,20.74855322,19.5546067,30.81776281,22.45914234,18.37592118,34.07250136,42.21879841
sp_t225g10nc_m-0.5,225,3,-0.5,0.1192,32.35060712,30.4859306,17.42435245,17.38458759,16.1814649,16.1650152,32.02326858,15.54064592,36.5172935,14.91774401,30.27449387,31.61452122,14.8977658,29.57613518,32.50693783,14.22688644,34.59988534,35.65332778,34.90976346,13.48496997,35.3643493,35.74223506,13.20062698,31.98978869,12.99668365,28.49590965,27.44775203,22.97423297,32.35874683,27.0736557,22.29470571,22.87986958,19.68230406,18.65676534,17.34212584,17.32747519,16.53731161,16.70596775,16.61440294,16.87734168,19.33557508,18.20533226,30.17236509,22.67052433,17.14709771,32.30439874,35.72556687
sp_t225g17nc_m-0.5,225,3.23,-0.5,0.113954158,31.94559904,30.03871503,17.58358605,17.52751725,16.33599123,16.31823064,31.951368,15.68193354,36.06413303,15.05780812,29.97140593,31.30594742,15.03687925,29.24312041,32.42627489,14.36153358,34.44941012,35.69630757,34.92677334,13.61014546,35.63712075,36.1095044,13.32252011,32.14787005,13.1123888,28.52057797,27.46958755,22.93156476,32.58231524,27.12938239,22.25416113,22.83111313,19.59981149,18.62490199,17.34973405,17.3931412,16.63957091,16.81790537,16.71871508,16.99321512,19.45215604,18.31163052,29.86901388,22.64000237,17.21443045,32.05004295,36.02370485
