filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t200g10nc_m0.0.gz,200,3,0,0.1181,32.4458203,33.35262948,18.79608472,18.63358249,17.15286473,17.1327187,34.94699495,16.07695094,42.60585599,15.25439035,33.86929679,35.2505376,15.23154303,33.26175981,37.23749793,14.49651448,39.17992774,39.58867844,37.8520968,13.68236805,37.12656368,36.9996882,13.3784381,33.96569331,13.16073784,31.46495271,30.49931595,25.27544714,36.85465207,30.18502497,24.6503605,25.51474709,21.87627947,20.18362661,18.57728367,18.33972609,17.37024341,17.61562021,17.45966643,17.81859165,20.49174481,19.03327056,33.76803554,25.12358787,18.14618149,36.3563539,37.40922484
sp_t200g17nc_m0.0.gz,200,3.23,0,0.112578061,32.12773563,32.75699696,18.91740733,18.74062541,17.28649408,17.26591685,34.70105935,16.20250939,42.22291604,15.37712924,33.41539672,34.84013653,15.3514361,32.84392665,37.22463126,14.617025,38.98076279,39.53389594,38.05984853,13.79974683,37.41995514,37.37205737,13.49385676,34.06133872,13.27098807,31.51797484,30.55415818,25.29796877,37.03312096,30.32192076,24.67789421,25.52090524,21.84554253,20.15442961,18.56787744,18.40883885,17.46944786,17.728621,17.56751798,17.93957074,20.59994205,19.14175608,33.44417504,25.13221848,18.21463111,35.81845848,37.75233542
sp_t200g31nc_m0.0.gz,200,3.49,0,0.110263549,32.00059506,32.32745574,18.99265113,18.80226717,17.37859197,17.35809212,34.44720188,16.28558166,41.5950257,15.46552046,32.92754927,34.34037939,15.43942659,32.2953047,37.09768952,14.70192222,38.6253815,39.2858294,38.12518218,13.87803973,37.61156616,37.65009844,13.57039224,34.08012348,13.34443789,31.50436374,30.53495467,25.22281517,37.20149398,30.37331322,24.61135815,25.44565088,21.69384064,20.04687888,18.49310175,18.40533316,17.49934137,17.76152878,17.60105011,17.98137886,20.60115465,19.18115776,32.93073725,25.06779729,18.20828699,35.27059687,37.96875916
sp_t200g56nc_m0.0.gz,200,3.75,0,0.109504234,31.63444175,31.63513543,19.06455493,18.85913531,17.45438405,17.43359086,34.17338943,16.3403745,40.94150631,15.52436083,32.40785464,33.79897794,15.49842648,31.71010738,36.89287877,14.75682626,38.24017376,39.1516742,38.134591,13.92127231,37.78920747,37.9315831,13.61041221,34.06095159,13.3793281,31.45119531,30.46195228,25.09284248,37.36351316,30.3706965,24.48812603,25.31793902,21.49856658,19.90039975,18.38176915,18.36876906,17.49987581,17.76950343,17.60814299,18.00180126,20.60517493,19.18587406,32.35117089,24.95568345,18.16921319,34.70325905,38.17846881
sp_t200g100nc_m0.0.gz,200,4,0,0.1073,31.29558319,30.96779992,19.17098713,18.94932338,17.56698492,17.54630668,33.98083522,16.42800474,40.29691443,15.61816478,31.9630382,33.31957804,15.59264445,31.19541943,36.69462961,14.84618987,37.90278128,39.10409269,38.12164993,13.99823548,38.01319392,38.26972177,13.68381646,34.09125568,13.44728461,31.42746634,30.40726512,24.9677817,37.57792959,30.3814081,24.37050655,25.21262044,21.31404387,19.77922199,18.29969464,18.35881177,17.53045216,17.80455095,17.64858778,18.05572894,20.64470716,19.21803296,31.80272497,24.87112559,18.15605438,34.27455182,38.42504165
sp_t200g178nc_m0.0.gz,200,4.25,0,0.103399567,31.05118665,30.40248869,19.31830335,19.07975904,17.72111114,17.70127622,33.87294548,16.55379,39.67193534,15.75259191,31.60562826,32.92770453,15.72774798,30.78435846,36.49872651,14.97605102,37.58051456,39.09750996,38.05679633,14.1161738,38.29791018,38.68004384,13.79815972,34.16365229,13.55667473,31.4270356,30.37656253,24.85278309,37.83633758,30.41049128,24.2629438,25.13606258,21.15047834,19.69068543,18.25266821,18.38000732,17.59583326,17.87182932,17.72724437,18.14669949,20.70601221,19.28226475,31.338373,24.8178011,18.17290053,33.98719205,38.72719283
sp_t200g316nc_m0.0.gz,200,4.5,0,0.09800028,30.786447,29.8521894,19.50218323,19.24541466,17.91531599,17.89667856,33.85080652,16.71905793,39.07941675,15.92989368,31.33573709,32.62922368,15.90634325,30.47911182,36.31190626,15.14820352,37.24194912,39.14043031,37.91012051,14.27622255,38.63691188,39.14801589,13.95428226,34.28099843,13.70767445,31.4492373,30.38239062,24.75141472,38.16515392,30.4660599,24.16830132,25.08602418,21.01122645,19.64172477,18.24650591,18.43364013,17.6950317,17.96705852,17.84370826,18.2705283,20.79525347,19.38313961,30.97954544,24.78947821,18.22197051,33.83827047,39.0773772
sp_t200g562nc_m0.0.gz,200,4.75,0,0.0915991,30.53861414,29.30337748,19.69925817,19.42393505,18.13349273,18.1162554,33.89355388,16.91702422,38.55721039,16.14402246,31.18097992,32.44257377,16.12210221,30.30233897,36.1523405,15.35614732,36.90185537,39.09568718,37.71508389,14.47148937,39.08272109,39.74284746,14.14531301,34.39622474,13.89432461,31.4564059,30.39623263,24.6628488,38.55817018,30.54991612,24.08532562,25.05438346,20.8914307,19.62493915,18.27388835,18.51151543,17.81921156,18.07878126,17.98853813,18.4127691,20.86105096,19.50988278,30.76290473,24.76961441,18.29676559,33.81738672,39.53179386
sp_t200g1000nc_m0.0.gz,200,5,0,0.0854,30.27069014,28.76942837,19.89835982,19.60545627,18.35665882,18.34100015,33.98990752,17.12373934,38.02240423,16.37364079,31.09447195,32.321368,16.35466084,30.20276419,35.93273011,15.57835661,36.50197263,39.03270947,37.42235056,14.67905803,39.48133867,40.28925168,14.34802329,34.49144715,14.09199707,31.42548295,30.37550759,24.5558171,39.00340103,30.61360233,23.98033975,24.99410563,20.76159267,19.61532362,18.31454974,18.59547993,17.94926355,18.18926775,18.14022682,18.55738213,20.93514162,19.65020344,30.64235006,24.70579478,18.38037747,33.87047763,39.93309893
sp_t200g1780nc_m0.0.gz,200,5.25,0,0.0782,30.00079047,28.23173056,20.12504991,19.81519172,18.61876422,18.60477584,34.09995764,17.37884249,37.58192142,16.65540914,31.11209256,32.27613532,16.63873414,30.21270131,35.76686096,15.84987212,36.18517094,39.02020322,37.18728784,14.93541925,39.96457496,40.92726974,14.5989353,34.60423382,14.33758567,31.3859484,30.34376279,24.46603407,39.42779938,30.68423972,23.8874157,24.93243588,20.65989888,19.64756023,18.405597,18.7196581,18.11710401,18.3313865,18.32530802,18.73131112,21.03498062,19.83481735,30.64630847,24.62397214,18.50681919,33.98099342,40.41187431
sp_t200g3160nc_m0.0.gz,200,5.5,0,0.0782,30.19684442,28.32935794,20.13505904,19.81673112,18.66902042,18.65660788,34.02078777,17.43178561,37.02847386,16.74091324,31.01984828,32.07978386,16.72666078,30.11594741,35.43641071,15.92585717,35.79209215,38.88060573,36.85537605,14.99851361,40.32662889,41.46107577,14.65791926,34.55151185,14.39275323,31.13799068,30.10546119,24.17635599,39.81954392,30.55320714,23.58799178,24.64695959,20.37395751,19.50401183,18.33061005,18.67000978,18.10943451,18.29526574,18.32853764,18.72414322,20.95013852,19.8359563,30.55236145,24.30635833,18.46231273,33.95083783,40.76929168
sp_t225g10nc_m0.0.gz,225,3,0,0.1205,31.89562984,31.77082227,17.65231335,17.59927973,16.16534612,16.1467394,32.36239803,15.32380224,39.27612505,14.49136022,31.88690481,32.89850048,14.45431957,31.17130714,34.27645558,13.83474809,36.25254582,36.72639661,34.40339696,13.20381749,33.60113057,33.18945303,12.95512241,31.72198063,12.79095266,29.6146963,28.62189464,23.91434759,33.75835736,28.21051577,23.25287614,23.96488606,20.62222687,19.28711986,17.78903132,17.58333964,16.65108641,16.86221095,16.73187178,17.04321935,19.65843954,18.33656663,31.65158835,23.66794961,17.39642084,33.58151083,33.81192579
sp_t225g17nc_m0.0.gz,225,3.23,0,0.114701964,31.63028215,31.28060246,17.81344439,17.74213705,16.3224889,16.30213142,32.09243643,15.46763328,38.9240071,14.6335648,31.44960369,32.54632994,14.59758978,30.80262023,34.19297838,13.97171181,36.07194665,36.698994,34.60580078,13.32524245,33.84482402,33.49190593,13.07243674,31.82221902,12.90362828,29.65321598,28.66917273,23.92491249,34.01872391,28.31026032,23.2651072,23.96154684,20.60224938,19.2687197,17.78744923,17.65153373,16.74742521,16.97614609,16.84066383,17.16230047,19.77332964,18.44772991,31.37009345,23.66826381,17.46654309,33.08034877,34.11017489
sp_t225g31nc_m0.0.gz,225,3.49,0,0.112170238,31.51792555,30.96098647,17.9193782,17.82910059,16.42986805,16.40838162,31.82642655,15.55801808,38.42792479,14.72607669,30.98483101,32.11905567,14.69041549,30.3136495,34.11934447,14.059145,35.8173374,36.58638663,34.75545487,13.39898567,34.05912822,33.7808785,13.14199447,31.87140096,12.96576343,29.65878562,28.67059833,23.86803323,34.22534123,28.38214361,23.21423065,23.90274789,20.48510719,19.18352503,17.73127831,17.66162172,16.78872585,17.0261629,16.88817723,17.22115047,19.81065879,18.49934754,30.93471421,23.62096252,17.47552509,32.54843653,34.35623996
sp_t225g56nc_m0.0.gz,225,3.75,0,0.111106048,31.19389095,30.39377794,18.00226452,17.8915027,16.51180109,16.48881049,31.57559717,15.61992188,37.88458896,14.7893697,30.5084734,31.66957119,14.75387519,29.79755822,33.97215822,14.11818581,35.51663646,36.54370721,34.86242781,13.4428539,34.25714281,34.06987556,13.1821513,31.90871925,12.9999155,29.63884642,28.63758605,23.76182141,34.42394604,28.40034799,23.11270093,23.79642755,20.32588608,19.06215598,17.64286181,17.64259435,16.80490138,17.05553601,16.911564,17.26040605,19.85135862,18.5222215,30.43795607,23.52901846,17.45544173,32.04545954,34.59546022
sp_t225g100nc_m0.0.gz,225,4,0,0.1086,30.91405984,29.85450891,18.1254816,17.99502174,16.63254982,16.60829178,31.40037255,15.7150839,37.34256427,14.88638366,30.08885387,31.25972744,14.85088935,29.32227629,33.85657102,14.21016937,35.24800533,36.55615654,34.96826302,13.51839625,34.49801293,34.41390299,13.25267418,31.98217099,13.06139092,29.6463788,28.61573579,23.66101171,34.64516738,28.43924808,23.01729825,23.70687582,20.17390879,18.96018495,17.58010447,17.64639312,16.84755218,17.10670002,16.96135795,17.32625945,19.92014226,18.5722408,29.93844528,23.45703305,17.45705824,31.66342676,34.8661121
