Time,Mag_H,Mag_H_err,Mag_J,Mag_J_err,Mag_Ks,Mag_Ks_err,Mag_F090W,Mag_F090W_err,Mag_F115W,Mag_F115W_err,Mag_F140M,Mag_F140M_err,Mag_F150W,Mag_F150W_err,Mag_F150W2,Mag_F150W2_err,Mag_F162M,Mag_F162M_err,Mag_F164N,Mag_F164N_err,Mag_F182M,Mag_F182M_err,Mag_F187N,Mag_F187N_err,Mag_F200W,Mag_F200W_err,Mag_F210M,Mag_F210M_err,Mag_F212N,Mag_F212N_err,Mag_F250M,Mag_F250M_err,Mag_F277W,Mag_F277W_err,Mag_F300M,Mag_F300M_err,Mag_F322W2,Mag_F322W2_err,Mag_F323N,Mag_F323N_err,Mag_F335M,Mag_F335M_err,Mag_F356W,Mag_F356W_err,Mag_F360M,Mag_F360M_err,Mag_F405N,Mag_F405N_err,Mag_F410M,Mag_F410M_err,Mag_F430M,Mag_F430M_err,Mag_F444W,Mag_F444W_err,Mag_F460M,Mag_F460M_err,Mag_F466N,Mag_F466N_err,Mag_F470N,Mag_F470N_err,Mag_F480M,Mag_F480M_err,Mag_[3.6],Mag_[3.6]_err,Mag_[4.5],Mag_[4.5]_err
-0.478587567,,,,,10.28891428,0.026324744,13.91267596,0.083063907,12.59834404,0.03271455,,,,,,,11.20950041,0.032343753,11.17248394,0.086514563,10.7770111,0.028009581,10.68378904,0.08357351,10.55747379,0.020786864,10.3795855,0.030901346,10.33823332,0.075736028,9.950200128,0.037303916,9.867864612,0.022905632,9.860410629,0.041203423,9.728402711,0.02183904,10.02222569,0.157368503,9.777971652,0.050952039,9.573344468,0.037508711,9.440457597,0.05174723,9.265805408,0.196705682,9.327579537,0.071650648,9.389246738,0.130905574,9.454093708,0.073078555,9.654960245,0.231968072,9.654513276,0.497529461,9.64761259,0.51654646,9.713994491,0.260464728,9.572258984,0.039357036,,
-0.438777846,11.1752539,0.026325722,12.22394856,0.031178434,10.29916275,0.026461746,13.93641938,0.085177767,12.58528056,0.03244472,11.70906281,0.032965981,11.50906212,0.023198099,11.36831006,0.01287781,11.21581771,0.032462552,11.18698201,0.087530327,10.77574498,0.027918317,10.6760359,0.083088741,10.55555283,0.020721251,10.37892739,0.030833605,10.34172246,0.075827452,9.968825046,0.03749262,9.883015298,0.02307554,9.871700056,0.041430431,9.743399554,0.022001849,10.01226134,0.156023385,9.791545101,0.051347488,9.588572155,0.037796224,9.46217543,0.05246103,9.274082609,0.197537445,9.327791305,0.071442556,9.381780855,0.130693135,9.451561849,0.073045322,9.659999492,0.233156881,9.724944257,0.533091909,9.622293494,0.509974156,9.691246391,0.257027783,9.588999197,0.03972073,,
-0.398968125,11.2188215,0.026945482,12.27297194,0.032013849,10.33351957,0.026979791,13.98587907,0.087769755,12.63343703,0.033332815,11.74646955,0.033694932,11.54835842,0.023703943,11.40504027,0.013150234,11.26527316,0.033342586,11.22859152,0.089253294,10.80219284,0.028346712,10.68757545,0.083379059,10.58818831,0.021115605,10.41816445,0.031541768,10.39106204,0.077962339,,,,,9.89187433,0.042172257,,,10.04180206,0.159350753,9.813741542,0.052017252,,,,,,,,,,,,,9.667777141,0.235346015,9.673698868,0.510425912,9.657580597,0.520303204,9.741568172,0.268488536,,,,
-0.359158405,11.2576077,0.027547826,12.33116388,0.033064564,10.37315536,0.027513836,14.04084207,0.09104805,12.6941387,0.034545457,11.79440058,0.034585489,11.59235553,0.024306085,11.45141328,0.013481468,11.3022915,0.034038431,11.28146262,0.092116241,10.85208026,0.029075202,10.72623429,0.085009691,10.63435173,0.021619814,10.45797225,0.032189402,10.41251691,0.078559685,10.04271861,0.039037216,,,,,,,,,,,,,9.512982822,0.054292245,9.304213355,0.201167449,9.400456749,0.075390925,9.448172834,0.137361367,9.507561812,0.076197159,9.672486383,0.234551378,9.689907404,0.512188814,,,9.748335306,0.267893666,,,,
-0.319348684,11.3440723,0.028867921,12.43408606,0.035048826,10.45764218,0.029028068,14.1207203,0.095890795,12.79654191,0.036620236,11.88716241,0.036411238,11.6772559,0.025463632,11.53710608,0.014165027,11.38930446,0.035706834,11.34975143,0.095655983,10.93004042,0.030296159,10.82742652,0.089857904,10.71414082,0.022617352,10.54319628,0.033835363,10.50374679,0.082976261,10.11126018,0.040602493,10.01013446,0.024847051,9.977108965,0.044254146,9.855441402,0.02367084,10.08138948,0.163630637,9.878550578,0.054528293,9.684491742,0.040277627,9.562297557,0.056041048,9.344086954,0.207081517,9.42508634,0.076407772,9.465572881,0.137987717,9.531084177,0.077536567,9.679715662,0.236309857,9.66964956,0.501819385,9.684971926,0.535765455,9.75986026,0.271464406,9.684876775,0.042333784,,
-0.278673535,11.46383197,0.030215233,12.56336944,0.036751522,10.57070654,0.030134946,14.25395908,0.103560923,12.92620872,0.038533946,12.01633237,0.038351515,11.80420898,0.026784003,11.65651546,0.014803456,11.50908252,0.037371827,11.47291631,0.09998935,11.05028823,0.031692136,10.93772363,0.093145705,10.82863552,0.023569688,10.65324177,0.035173282,10.61551388,0.086515752,10.20964595,0.0421116,10.09978822,0.025618,10.05898582,0.045464305,9.935395563,0.024321595,10.14585253,0.166369373,9.943263712,0.055287614,9.755349929,0.041103276,9.632942458,0.05708051,9.442010566,0.216870027,9.497229093,0.078647242,9.520350602,0.140533313,9.583780053,0.079117009,9.724544946,0.240303502,9.718476104,0.514945102,9.664840592,0.512443492,9.757124537,0.264721172,9.754726101,0.043132113,,
-0.238643375,11.60442283,0.035827683,12.72153192,0.044127523,10.69069818,0.035190242,14.44621726,0.131367075,13.08772614,0.046577292,12.15392584,0.045292281,11.94208939,0.03172179,11.79624092,0.01753753,11.64408876,0.044232761,11.5911781,0.117684584,11.19889768,0.037685495,11.09295272,0.111212977,10.96493907,0.027815142,10.77889728,0.041218984,10.72143387,0.099925736,10.33620115,0.049240125,10.21430256,0.02996594,10.1513455,0.052645607,10.04095994,0.028522318,10.19964979,0.187433267,10.02784757,0.063927352,9.85163694,0.047980621,9.742860556,0.067459763,9.517179793,0.248662809,9.602957455,0.093075285,9.609525101,0.165495705,9.668949097,0.092691284,9.773783854,0.273793059,,,,,9.792005327,0.297640726,9.851536034,0.050355699,9.686705837,0.112375678
-0.199045023,11.76564672,0.036484911,12.91451285,0.046093795,10.86082862,0.036130851,14.64990853,0.142203124,13.28097663,0.048734875,12.35559862,0.04756997,12.1233068,0.032816039,11.97131094,0.018071389,11.81044257,0.045212025,11.77653249,0.121367688,11.36152356,0.038439383,11.27816288,0.11565356,11.13783227,0.028595601,10.95868596,0.042594393,10.91628093,0.104188746,10.48668052,0.050340701,10.3493603,0.03035781,10.2711769,0.052974139,10.16872749,0.028960818,10.29296636,0.187273074,10.13808536,0.06413743,9.972734334,0.048566523,9.875664054,0.068787158,9.667745113,0.259712031,9.724254585,0.094426035,9.737920807,0.16928033,9.772437339,0.093464678,9.852835756,0.271567557,,,,,9.898241734,0.302948444,9.975329201,0.051071906,9.784922085,0.11305429
-0.158369874,11.9799024,0.04045074,13.15246619,0.052003404,11.08157028,0.040300821,14.91233843,0.170573292,13.52095526,0.055562976,12.57967309,0.05322119,12.33474537,0.036383802,12.18858342,0.020091264,12.01974752,0.050040173,12.00461828,0.136056804,11.57818185,0.042530863,11.46001948,0.124064092,11.35279496,0.031682833,11.17463869,0.047282326,11.12787726,0.114976286,10.68542574,0.055021045,10.52556511,0.032974239,10.41885842,0.056816172,10.3290749,0.031445841,10.39448877,0.195643794,10.2622881,0.068134603,10.11660032,0.052179806,10.03621285,0.074592109,9.85691988,0.291444825,,,,,,,,,,,,,9.935384634,0.304712691,10.11811551,0.05476146,,
-0.121233931,12.20512283,0.046320114,13.40414095,0.06131168,11.30248692,0.045917393,15.18843072,0.212336786,13.77702519,0.065769637,12.81522672,0.061719044,12.56522455,0.041906384,12.42109523,0.023138948,12.24883102,0.05750447,12.19162652,0.151692873,11.80757529,0.048750405,11.70324846,0.144129479,11.58276426,0.036317918,11.40299512,0.054112883,11.37026291,0.133670129,10.88941783,0.062060157,10.72747872,0.037592187,10.60395783,0.064639712,10.51026111,0.035666668,10.59847653,0.226207516,10.42616176,0.076251732,10.27872996,0.05842661,10.19633233,0.083329813,9.930256311,0.304559383,10.02554729,0.115669564,9.978579673,0.200659293,10.00466877,0.110060575,10.01791299,0.302911156,,,,,10.01217349,0.324765809,10.28007694,0.061286542,9.991607065,0.130768105
